Monitoraggio ID,KPI,Valore (PV) (€),Data rilevazione,Stato dell'Attività,Actual Cost,Attività,Peso Relativo WP,Budget Attività (€),Peso Attività (%),Planned Start,Planned Finish,Giorni per Attività,Giorni trascorsi,Percentuale completa (%),Stato dell'attività (%),Work Package,Programma,Progetto
Planned Value (13/11/2023) 1.1.1 Define mapping scope,Planned Value,454,13/11/2023,,,1.1.1 Define mapping scope,"0,11",568,"0,22",21/8/2023,4/12/2023,105,84,0.80,,1.1 Create a dispersed network of community observers and citizen scientists,1 Global Estuaries Monitoring,1. Estuarine Ecological Knowledge Network
Earned Value (13/11/2023) 1.1.1 Define mapping scope,Earned Value,142,13/11/2023,Appena iniziata,,1.1.1 Define mapping scope,"0,11",568,"0,22",21/8/2023,4/12/2023,105,84,0.80,0.25,1.1 Create a dispersed network of community observers and citizen scientists,1 Global Estuaries Monitoring,1. Estuarine Ecological Knowledge Network
Actual Cost (13/11/2023) 1.1.1 Define mapping scope,Actual Cost,150,13/11/2023,,150,1.1.1 Define mapping scope,"0,11",568,"0,22",21/8/2023,4/12/2023,105,84,0.80,,1.1 Create a dispersed network of community observers and citizen scientists,1 Global Estuaries Monitoring,1. Estuarine Ecological Knowledge Network
Planned Value (13/11/2023) 1.1.2 Define mapping use cases,Planned Value,446,13/11/2023,,,1.1.2 Define mapping use cases,"0,11",568,"0,22",1/9/2023,3/12/2023,93,73,0.78,,1.1 Create a dispersed network of community observers and citizen scientists,1 Global Estuaries Monitoring,1. Estuarine Ecological Knowledge Network
Earned Value (13/11/2023) 1.1.2 Define mapping use cases,Earned Value,142,13/11/2023,Appena iniziata,,1.1.2 Define mapping use cases,"0,11",568,"0,22",1/9/2023,3/12/2023,93,73,0.78,0.25,1.1 Create a dispersed network of community observers and citizen scientists,1 Global Estuaries Monitoring,1. Estuarine Ecological Knowledge Network
Actual Cost (13/11/2023) 1.1.2 Define mapping use cases,Actual Cost,200,13/11/2023,,200,1.1.2 Define mapping use cases,"0,11",568,"0,22",1/9/2023,3/12/2023,93,73,0.78,,1.1 Create a dispersed network of community observers and citizen scientists,1 Global Estuaries Monitoring,1. Estuarine Ecological Knowledge Network
Planned Value (13/11/2023) 1.1.3 Map development,Planned Value,142,13/11/2023,,,1.1.3 Map development,"0,11",1136,"0,44",1/11/2023,5/2/2024,96,12,0.13,,1.1 Create a dispersed network of community observers and citizen scientists,1 Global Estuaries Monitoring,1. Estuarine Ecological Knowledge Network
Earned Value (13/11/2023) 1.1.3 Map development,Earned Value,284,13/11/2023,Appena iniziata,,1.1.3 Map development,"0,11",1136,"0,44",1/11/2023,5/2/2024,96,12,0.13,0.25,1.1 Create a dispersed network of community observers and citizen scientists,1 Global Estuaries Monitoring,1. Estuarine Ecological Knowledge Network
Actual Cost (13/11/2023) 1.1.3 Map development,Actual Cost,100,13/11/2023,,100,1.1.3 Map development,"0,11",1136,"0,44",1/11/2023,5/2/2024,96,12,0.13,,1.1 Create a dispersed network of community observers and citizen scientists,1 Global Estuaries Monitoring,1. Estuarine Ecological Knowledge Network
Planned Value (13/11/2023) 1.1.4 Publish the mapping,Planned Value,0,13/11/2023,,,1.1.4 Publish the mapping,"0,11",284,"0,11",28/11/2023,22/3/2024,115,0,0.00,,1.1 Create a dispersed network of community observers and citizen scientists,1 Global Estuaries Monitoring,1. Estuarine Ecological Knowledge Network
Earned Value (13/11/2023) 1.1.4 Publish the mapping,Earned Value,0,13/11/2023,Da iniziare,,1.1.4 Publish the mapping,"0,11",284,"0,11",28/11/2023,22/3/2024,115,0,0.00,0.00,1.1 Create a dispersed network of community observers and citizen scientists,1 Global Estuaries Monitoring,1. Estuarine Ecological Knowledge Network
Actual Cost (13/11/2023) 1.1.4 Publish the mapping,Actual Cost,0,13/11/2023,,0,1.1.4 Publish the mapping,"0,11",284,"0,11",28/11/2023,22/3/2024,115,0,0.00,,1.1 Create a dispersed network of community observers and citizen scientists,1 Global Estuaries Monitoring,1. Estuarine Ecological Knowledge Network
Planned Value (13/11/2023) 1.2.1 Define knowledge-map scope,Planned Value,1197,13/11/2023,,,1.2.1 Define knowledge-map scope,"0,33",1704,"0,22",1/8/2023,27/12/2023,148,104,0.70,,1.2 Document and preserve the knowledge of indigenous peoples,1 Global Estuaries Monitoring,1. Estuarine Ecological Knowledge Network
Earned Value (13/11/2023) 1.2.1 Define knowledge-map scope,Earned Value,426,13/11/2023,Appena iniziata,,1.2.1 Define knowledge-map scope,"0,33",1704,"0,22",1/8/2023,27/12/2023,148,104,0.70,0.25,1.2 Document and preserve the knowledge of indigenous peoples,1 Global Estuaries Monitoring,1. Estuarine Ecological Knowledge Network
Actual Cost (13/11/2023) 1.2.1 Define knowledge-map scope,Actual Cost,1200,13/11/2023,,1200,1.2.1 Define knowledge-map scope,"0,33",1704,"0,22",1/8/2023,27/12/2023,148,104,0.70,,1.2 Document and preserve the knowledge of indigenous peoples,1 Global Estuaries Monitoring,1. Estuarine Ecological Knowledge Network
Planned Value (13/11/2023) 1.2.2 Literature review of indigenous knowledge,Planned Value,1915,13/11/2023,,,1.2.2 Literature review of indigenous knowledge,"0,33",3407,"0,44",15/9/2023,29/12/2023,105,59,0.56,,1.2 Document and preserve the knowledge of indigenous peoples,1 Global Estuaries Monitoring,1. Estuarine Ecological Knowledge Network
Earned Value (13/11/2023) 1.2.2 Literature review of indigenous knowledge,Earned Value,852,13/11/2023,Appena iniziata,,1.2.2 Literature review of indigenous knowledge,"0,33",3407,"0,44",15/9/2023,29/12/2023,105,59,0.56,0.25,1.2 Document and preserve the knowledge of indigenous peoples,1 Global Estuaries Monitoring,1. Estuarine Ecological Knowledge Network
Actual Cost (13/11/2023) 1.2.2 Literature review of indigenous knowledge,Actual Cost,900,13/11/2023,,900,1.2.2 Literature review of indigenous knowledge,"0,33",3407,"0,44",15/9/2023,29/12/2023,105,59,0.56,,1.2 Document and preserve the knowledge of indigenous peoples,1 Global Estuaries Monitoring,1. Estuarine Ecological Knowledge Network
Planned Value (13/11/2023) 1.2.3 Define knowledge-map use cases,Planned Value,0,13/11/2023,,,1.2.3 Define knowledge-map use cases,"0,33",1704,"0,22",14/11/2023,18/12/2023,34,0,0.00,,1.2 Document and preserve the knowledge of indigenous peoples,1 Global Estuaries Monitoring,1. Estuarine Ecological Knowledge Network
Earned Value (13/11/2023) 1.2.3 Define knowledge-map use cases,Earned Value,0,13/11/2023,Da iniziare,,1.2.3 Define knowledge-map use cases,"0,33",1704,"0,22",14/11/2023,18/12/2023,34,0,0.00,0.00,1.2 Document and preserve the knowledge of indigenous peoples,1 Global Estuaries Monitoring,1. Estuarine Ecological Knowledge Network
Actual Cost (13/11/2023) 1.2.3 Define knowledge-map use cases,Actual Cost,0,13/11/2023,,0,1.2.3 Define knowledge-map use cases,"0,33",1704,"0,22",14/11/2023,18/12/2023,34,0,0.00,,1.2 Document and preserve the knowledge of indigenous peoples,1 Global Estuaries Monitoring,1. Estuarine Ecological Knowledge Network
Planned Value (13/11/2023) 1.2.4 Publish the knowledge map,Planned Value,60,13/11/2023,,,1.2.4 Publish the knowledge map,"0,33",852,"0,11",1/11/2023,18/4/2024,169,12,0.07,,1.2 Document and preserve the knowledge of indigenous peoples,1 Global Estuaries Monitoring,1. Estuarine Ecological Knowledge Network
Earned Value (13/11/2023) 1.2.4 Publish the knowledge map,Earned Value,0,13/11/2023,Da iniziare,,1.2.4 Publish the knowledge map,"0,33",852,"0,11",1/11/2023,18/4/2024,169,12,0.07,0.00,1.2 Document and preserve the knowledge of indigenous peoples,1 Global Estuaries Monitoring,1. Estuarine Ecological Knowledge Network
Actual Cost (13/11/2023) 1.2.4 Publish the knowledge map,Actual Cost,200,13/11/2023,,200,1.2.4 Publish the knowledge map,"0,33",852,"0,11",1/11/2023,18/4/2024,169,12,0.07,,1.2 Document and preserve the knowledge of indigenous peoples,1 Global Estuaries Monitoring,1. Estuarine Ecological Knowledge Network
Planned Value (13/11/2023) 1.3.1 Develop a strategy on how to encourage participation,Planned Value,352,13/11/2023,,,1.3.1 Develop a strategy on how to encourage participation,"0,56",1704,"0,13",7/11/2023,6/12/2023,29,6,0.21,,1.3 Encourage the participation of under-represented groups in marine science and management,1 Global Estuaries Monitoring,1. Estuarine Ecological Knowledge Network
Earned Value (13/11/2023) 1.3.1 Develop a strategy on how to encourage participation,Earned Value,426,13/11/2023,Appena iniziata,,1.3.1 Develop a strategy on how to encourage participation,"0,56",1704,"0,13",7/11/2023,6/12/2023,29,6,0.21,0.25,1.3 Encourage the participation of under-represented groups in marine science and management,1 Global Estuaries Monitoring,1. Estuarine Ecological Knowledge Network
